cohort,biological_target,scoring_function,pair,mean_within_seed_rho,receptor_spearman_rho,pair_reversal_fraction,median_abs_delta_rank,top20_survival,rrl_conservative,rrl_conservative_lower_bound,rrl_conservative_status
IDH1,IDH1,vinardo,5LGE-6ADG,0.9972852447288036,0.5224913863001934,0.3140066943298775,72.0,0.2,10.889,10.889,FINITE
IDH1,IDH1,vinardo,5SUN-5SVF,0.9373915827111852,0.697992087714404,0.2400882714346615,51.0,0.45,1.947,1.947,FINITE
IDH1,IDH1,vinardo,5SUN-6ADG,0.9582662473987972,-0.0663787112695449,0.5203219416794123,136.75,0.15,33.313,33.313,FINITE
IDH1,IDH1,vinardo,5SVF-6ADG,0.9773395413696634,-0.0875525683663121,0.5274156345584917,131.0,0.05,,33.313,CENSORED
PPARG,PPARG,vina,2P4Y-2YFE,0.9938459349960684,0.9389290165606408,0.1078722684018505,24.0,0.65,1.2030000000000012,1.2030000000000012,FINITE
PPARG,PPARG,vina,2P4Y-3B1M,0.9949184515254414,0.9414944459412474,0.103737977905679,24.5,0.5,1.2969999999999997,1.2969999999999997,FINITE
PPARG,PPARG,vina,2P4Y-3R8A,0.9963048767635114,0.9599225187164132,0.085298727352517,19.0,0.6,0.9939999999999998,0.9939999999999998,FINITE
PPARG,PPARG,vina,2YFE-3B1M,0.9941733990024522,0.9519454373963784,0.0939365063443502,20.75,0.7,0.9970000000000008,0.9970000000000008,FINITE
PPARG,PPARG,vina,2YFE-3R8A,0.995559824240522,0.9541873330446012,0.0932900378626413,20.5,0.5,1.114999999999999,1.114999999999999,FINITE
PPARG,PPARG,vina,3B1M-3R8A,0.9966323407698952,0.9395033707887506,0.1040250783699059,20.25,0.55,1.2880000000000011,1.2880000000000011,FINITE
PPARG,PPARG,vinardo,2P4Y-2YFE,0.9731591900817528,0.764045049158258,0.2153194050813874,46.0,0.45,1.6239999999999997,1.6239999999999997,FINITE
PPARG,PPARG,vinardo,2P4Y-3B1M,0.9677218348365252,0.8053369442403943,0.1893511900283399,33.5,0.45,1.4829999999999997,1.4829999999999997,FINITE
PPARG,PPARG,vinardo,2P4Y-3R8A,0.9768303974247732,0.8013400650180911,0.1929602367487178,42.5,0.5,1.5119999999999996,1.5119999999999996,FINITE
PPARG,PPARG,vinardo,2YFE-3B1M,0.9678152027642912,0.8471803312254544,0.1688736739146791,34.25,0.45,1.2900000000000005,1.2900000000000005,FINITE
PPARG,PPARG,vinardo,2YFE-3R8A,0.9769237653525392,0.8535770442462826,0.1629152193812933,32.5,0.45,1.1929999999999996,1.1929999999999996,FINITE
PPARG,PPARG,vinardo,3B1M-3R8A,0.9714864101073116,0.8444614925092162,0.1703803087108625,36.0,0.6,1.3409999999999993,1.3409999999999993,FINITE
TP53,TP53,vina,2VUK-5G4O,0.9858602402816676,0.9340652927486464,0.1098934169278996,24.0,0.45,0.928,0.928,FINITE
TP53,TP53,vinardo,2VUK-5G4O,0.9307246277512372,0.774842396596575,0.205738506684056,48.0,0.35,1.2870000000000004,1.2870000000000004,FINITE
VDR,VDR,vina,3A2I-3A2J,0.997478159644538,0.9585856068319556,0.0832455744446116,17.0,0.7,0.875,0.875,FINITE
VDR,VDR,vinardo,3A2I-3A2J,0.997943452523859,0.9517698268798476,0.0874863655169819,17.0,0.7,0.8840000000000012,0.8840000000000012,FINITE
